PKR,1.5 Crore,"I-10/1, I-10",3,2,5 Marla,House For Sale In I101,"House For Sale In I-10/1 size: 25x50 3 Bed, 2 Bath, Dd, Double Kitchen, Terrace open Face 10 Step... more"
PKR,1.6 Crore,"I-10/1, I-10",5,5,4 Marla,Corner House Double Storey Size 25X40 For Sale I-10-1 Brand New,"Corner Home Brand New Double Storey Size 25,40 For Rent I-10/1 5 Bed Room Drawing Dining 5 Bath... more"
PKR,2.78 Crore,"I-10/4, I-10",5,6,6.7 Marla,(25*60)brand New First Entry House For Sale,Brand New House Top Location Tiles Floor House 5 Bedrooms 6 Bathrooms 2 Kitchen 2 Drining Room ... more
PKR,3.25 Crore,"I-10/2, I-10",6,9,8 Marla,Corner Brand New Open Face House For Sale,BRAND NEW CORNER park face NEAR to MARKET NEAR to MOSQUE thirp story house 6 BEDROOMS 9... more
PKR,1.5 Crore,"I-10/4, I-10",3,3,5 Marla,Double Storey 5 Marla House For Sale At Reasonable Price,Double Story House In Sector I-10/4 Size 25x50 Sun Face 3 Bed Drawing/ Dining TV Lounge Kitchen 1... more
PKR,1.55 Crore,"I-10/1, I-10",5,4,5 Marla,House Is Available For Sale,Ground Floor 2 beds Drawing room and 2 bathrooms and kitchen. First Floor 3Beds two Bath And... more
PKR,2.75 Crore,"I-10/4, I-10",4,5,5.6 Marla,Double Storey House I-10-4 With Extra Land,Double Storey corner House 5 Marla with Extra Land 4bed Dd Tv Lounge 5bath Double Kitchen ... more
PKR,1.75 Crore,"I-10/4, I-10",3,3,6.7 Marla,25x60 Renovated Open Face House Near To Market Near To Mosque For Sale,BEAUTIFUL HOUSE NEAR TO MARKET NEAR TO MOSQUE size 25x60 3 BEDROOMS 3 BATHROOMS DRINING room ... more
PKR,1.6 Crore,"I-10/1, I-10",5,4,4 Marla,Ideal Location Corner Double Brand New In I-10 Islamabad,This 900 Square Feet-sized property will definitely suit your requirements. If you want property... more
PKR,1.5 Crore,"I-10/1, I-10",4,4,3.6 Marla,Brand New House Near To Market Near To Mosque For Sale,Brand New House Near To Mosque Near To Market 4 Bedrooms 4 Bathrooms car Parking 50 Fit Road 2... more
PKR,1.35 Crore,"I-10/1, I-10",4,2,4.4 Marla,Corner Beautiful House Available For Sale,"Whatever your property needs are in Islamabad, we may have some great varieties for you. Your... more"
PKR,1.75 Crore,"I-10/2, I-10",4,4,5.6 Marla,I 10 2 Size 25x60 House For Sale Ideal Location Available,I-10-2 Size 25X60 House For Sale 4 Bed Room Drawing Dining 4 Bath With Kitchen Please Feel Free To... more
PKR,1.8 Crore,"I-10, Islamabad",5,4,5.6 Marla,New House For Sale,25*50 New House For Sale In I 10 with 10 marla extra land. Accommodation 2 Bed Drawing Dinning And... more
PKR,1.65 Crore,"I-10/1, I-10",6,6,4 Marla,Ideally Located House For Sale In I-10/1,Beat Investment Opportunity Just Buy &amp; Live Three Independent Units With All Facilities Only... more
PKR,2.75 Crore,"I-10/4, I-10",5,7,6.7 Marla,2560 Brand New House More Beautiful Extra Beautiful House For Sale,Brand New House Tiles Floor 5 Bedrooms 7 Bathrooms 2 Drining Room 2 Kitchen 2 Tv Lounge 2 Car... more
PKR,1.75 Crore,"I-10/4, I-10",3,3,6 Marla,Ideally Located House For Sale,Best Investment Opportunity just Buy And Live only Serious People May Contact want The Perfect... more
PKR,2.9 Crore,"I-10/1, I-10",6,5,8 Marla,Beautiful Brand New House 7 Marla Is Available For Sale,"sector i-10/1 double story size 30x60 tile flooring 6 bed 5 bath 2 kitchen Tv lounge, Drawing,... more"
PKR,4.25 Crore,"I-10, Islamabad",9,9,7 Marla,Brand New Corner Triple Storey House With Extra Land,Beautiful Corner Triple Story House with Extra land three independent unit very nice location... more
PKR,1.9 Crore,"I-10/1, I-10",4,4,5.6 Marla,New Construction House For Sale,New Construction House 4 Bedrooms 4 Attached Bathrooms 2 Dining Room 2 TV Lounge tiles Floor ... more
PKR,2.2 Crore,"I-10/2, I-10",5,5,6 Marla,1350 Square Feet House In I-10/2 Is Available,
PKR,2.2 Crore,"I-10/4, I-10",4,4,5 Marla,New Double Storey House For Sale,Newly Constructed Double Unit House 2 Bed Attach Bath Kitchen TVL D. D On Each Floor 2... more
PKR,2.1 Crore,"I-10/4, I-10",4,4,5 Marla,New Double Storey House For Sale,Newly Constructed Double Storey House 2 Bed Attach Bath TVL D. D Kitchen On Each Floor Rental... more
PKR,1.6 Crore,"I-10/4, I-10",3,3,5 Marla,House For Sale,"I-10/4 House Is Available For Sale at Ideal Location. 3 Bedrooms With Attach Bath Tv Lounge , D/d ... more"
PKR,2.8 Crore,"I-10/1, I-10",0,0,9.3 Marla,I 101 Used House For Sale,We are providing the best consultation in buying and selling property in #bahria_town phase 1 to 8... more
PKR,1.9 Crore,"I-10, Islamabad",5,5,5 Marla,House for sale in i 10,25#50 house for sale in i 10 just like brand new house 2 beds driwing dining and attach 2 baths or... more
PKR,2 Crore,"I-10/2, I-10",6,9,5 Marla,Nice Located Triple Storey House For Sale,Nice Located Triple Story 3 Unit House With 6 Bedrooms 3 Dd 3 TV Lounge 3 Kitchen 9 Attached... more
PKR,1.75 Crore,"I-10/1, I-10",3,3,5 Marla,5 Marla House In I-10 Best Option,The deal for 5 Marla House is a treat for serious buyers. This is the best opportunity for you to... more
PKR,2.25 Crore,"I-10/4, I-10",6,6,5.6 Marla,House Is Available For Sale In I-10,New Construction Thirple Story House marble Floors 6 Bedrooms 6 Bathrooms 3 Drining Room 3 Tv... more
PKR,2.85 Crore,"I-10/4, I-10",4,4,6 Marla,House Is Available For Sale,House Available For Sell Beautiful Brand New House Ideal Location Near To Mosque Market School... more
PKR,1.45 Crore,"I-10, Islamabad",6,3,4 Marla,Corner Triple Storey House For Sale In I-10,CORNER TRIPLE STOREY HOUSE FOR SALE Open Basement Separate Gate CDA Transfer Single Owner House ... more
PKR,2.9 Crore,"I-10, Islamabad",5,6,9.3 Marla,Brand New Double Storey House For Sale In I-10/1 Islamabad,"A beautifully designed and solidly built 2100 Square Feet House for Sale in the heart of , I-10/1... more"
PKR,2.4 Crore,"I-10/4, I-10",5,5,5 Marla,House Available For Sale In I-10/4,"House For Sale In CDA Sector I- 10/4 Islamabad. New Beautiful 5 Marla House, Beautiful Or Luxury... more"
PKR,1.62 Crore,"I-10/2, I-10",3,3,6 Marla,Double Storey 6 Marla Sun Face House For Sale At Reasonable Price,Double Story Old House Livable 3 Bed 3 Bath 1 Kitchen Car Parking Sun Face Front Tyres Good... more
PKR,2.9 Crore,"I-10, Islamabad",5,6,8 Marla,30x60 Main Road Front Back Open For Sale In I-10 Main Road,
PKR,1.8 Crore,"I-10, Islamabad",4,4,6 Marla,Brand New 6 Marla House Is Available For Sale In Sector I102 Islamabad,"A Well-Designed 6 Marla House Is Available For Sale In , I-10/2, Islamabad. The House Is Equipped... more"
PKR,2.85 Crore,"I-10, Islamabad",5,5,8 Marla,New Style Beautiful House Front Back Open With Extra Land,8 Marla Beautiful House i-10/1 Main Road Double story size 30x60 marble flooring Front back open... more
PKR,1.9 Crore,"I-10/2, I-10",4,4,6.7 Marla,25x60 Double Storey House Pillar Style Near Chambeli Road,Sector I-10.2 Street# 27. Double storey House Pillar style full covered house For Sale size 25x60... more
PKR,1.3 Crore,"I-10/1, I-10",4,3,4.5 Marla,I-10/1 Double Storey 25x40 House For Sale,CDA sector I-10/1 st 62 Double storey House Double unit Double Kitchen separate entrance. . ... more
PKR,1.9 Crore,"I-10/2, I-10",4,4,6.7 Marla,25x60 Double Storey House Pillar Style Near Chambeli Road,Sector I-10.2 Street# 27. Double storey House Pillar style full covered house For Sale size 25x60... more
PKR,1.95 Crore,"I-10/2, I-10",5,5,6.7 Marla,Pillar Style Double Storey 25x60 Double Unit House For Sale,CDA Sector I. 10.2 Full covered House size 25x60= 6 marla Double unit house total 5 bed roms 2 tv... more
PKR,1.3 Crore,"I-10/1, I-10",4,3,4.5 Marla,25x40 Double Storey House For Sale In I-10/1,I-10/1 Main markaz road Double storey House for sale size 25x40 extra space in front of house... more
PKR,1.95 Crore,"I-10/2, I-10",4,5,6.7 Marla,25×60 Double Storey House For Sale,25X60 Double Story For Sale 4 Bed room 5 Bath room 2 kitchen 2Tvl room 2 Drawing room ... more
PKR,3.4 Crore,"I-10/4, I-10",0,0,9.3 Marla,Brand New House For Sale In I-10/4 On 50 Ft Street,Brand New House For Sale In I-10/4 - 50 Ft Street Proper 2 Units 3 Bed Attach Bath Separate... more
PKR,4 Crore,"I-10 Markaz, I-10",5,4,7 Marla,Corner House Is Available For Sale,Beautiful house on beautiful location Corner house with 2 side big loan front car porch for 2 cars... more
PKR,1.75 Crore,"I-10, Islamabad",5,4,6.7 Marla,2560 Corner Duble Unit House For Sale,Just know that a purchasing opportunity like this doesn't come easy. This 1500 Square Feet House... more
PKR,1.6 Crore,"I-10/1, I-10",3,3,4.4 Marla,Corner Boulevard House For Sale In I-10/1 Size 25x40,I. 10/1 CDA Sector Corner Boulevard Main Road 2 Side Open 2 Gates 2 Kitchens 1 Bed ... more
PKR,1.3 Crore,"I-10/1, I-10",4,2,4.4 Marla,I-10/1 Street Corner House For Sale,CDA Sector I-10/1 St 56 Street corner 25x40 2 Gates 2 kitchen's Double story house Separate... more
